SMILES	FunctionalGroups
CCCCCOC(=O)c1ccccc1N	Amine
CCCCCOC(=O)c1ccccc1O	Alcohol
CCCCN	Amine
CCCCN=C=S	Amine
CCCCN1C=CC=C1C=O	Aldehyde
CCCCO	Alcohol
CCCCOC(=O)C(C)O	Alcohol
CCCCOC(=O)C(C)O	Alcohol
CCCCOC(=O)c1ccccc1N	Amine
CCCCOC(=O)c1ccccc1O	Alcohol
CCCCOCC1=CC(=C(C=C1)O)OC	Alcohol
CCCN(CCC)CCC	Amine
CCCO	Alcohol
CCCOC(=O)C(C)O	Alcohol
CCCOC(=O)c1ccc(O)cc1	Alcohol
CCCOC(=O)c1ccccc1N	Amine
CCCOC(=O)c1ccccc1O	Alcohol
CCN	Amine
CCN(CC)CC	Amine
CCN=C=S	Amine
CCN1C=CC=C1C=O	Aldehyde
CCNc1ccccc1C(=O)OCC	Amine
CCNCC	Amine
CCO	Alcohol
CCOC(=O)[C@@H](CC(C)C)O	Alcohol
CCOC(=O)[C@H](CC(C)C)O	Alcohol
CCOC(=O)C(C)(O)CC	Alcohol
CCOC(=O)C(C)O	Alcohol
CCOC(=O)C(CC1=CC=CC=C1)O	Alcohol
CCOC(=O)C(O)C(O)C(=O)OCC	Alcohol
CCOC(=O)C(O)CC(C)C	Alcohol
CCOC(=O)C\C(=C\C([O-])=O)C([O-])=O	CarboxylicAcid
CCOC(=O)C1=C(C=C(C=C1)C)O	Alcohol
CCOC(=O)c1ccc(O)c(OC)c1	Alcohol
CCOC(=O)c1ccccc1N	Amine
CCOC(=O)c1ccccc1NC	Amine
CCOC(=O)c1ccccc1NC(=O)c2ccc(cc2Cl)[N+]([O-])=O	Halogen, Nitro
CCOC(=O)c1ccccc1NCC2CCC(=CC2C)C	Amine
CCOC(=O)c1ccccc1O	Alcohol
CCOC(=O)CC(C)O	Alcohol
CCOC(=O)CC(O)c1ccccc1	Alcohol
CCOC(=O)CCC(C(=O)OCC)O	Alcohol
CCOC(=O)CCC1=CC=CC=C1O	Alcohol
CCOC(=O)CCCO	Alcohol
CCOC(CC(C)CCCC(C)(C)O)OCC	Alcohol
CCOC1=C(C=CC(=C1)C=O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O	Alcohol, Aldehyde
CCOC1=C(C=CC(=C1)C=O)OC(=O)C	Aldehyde
CCOC1=C(C=CC(=C1)C=O)OC(=O)C(C)C	Aldehyde
CCOc1cc(C=O)ccc1O	Alcohol, Aldehyde
CCOc1cc(ccc1O)C2OC(C)CC(C)(C)O2	Alcohol
CCOc1cc(ccc1O)C2OCC(C)O2	Alcohol
CCOc1cc(COC)ccc1O	Alcohol
CCOc1ccc(\C=C\C)cc1O	Alcohol
CCOc1ccc(C=O)cc1	Aldehyde
CCOc1ccc(C=O)cc1OC	Aldehyde
CCOc1ccc(O)cc1	Alcohol
CCOCc1ccc(O)c(OC)c1	Alcohol
CCOCc1ccccc1O	Alcohol
CCSC(C)CCO	Alcohol
CCSCCC(O)=O	CarboxylicAcid
CCSCCCO	Alcohol
CCSCCO	Alcohol
CN(C)C	Amine
CN=C=S	Amine
CN1C=NC2C1C(=O)N(C(=O)N2C)C.C[N+]1=CC=CC(=C1)C(=O)[O-].C1=COC=C1.C1=CC(=CN=C1)C(=O)O	CarboxylicAcid, Amine
CNc1ccccc1C(=O)OC	Amine
CNc1ccccc1C(=O)OCC(C)C	Amine
COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(O)=O	CarboxylicAcid, Amine
COC(=O)C(O)CC(C)C	Alcohol
COC(=O)C1=CC=CC=C1N=C/C=C/C2=CC=CC=C2	Amine
COC(=O)c1c(C)cc(O)c(C)c1O	Alcohol
COC(=O)c1cc(C)ccc1O	Alcohol
COC(=O)c1ccc(O)c(C)c1O	Alcohol
COC(=O)c1ccc(O)c(OC)c1	Alcohol
COC(=O)c1ccccc1N	Amine
COC(=O)c1ccccc1N(C)C	Amine
COC(=O)c1ccccc1N\C=C2/CCC(=CC2C)C	Amine
COC(=O)c1ccccc1N=C\C=C(C)\CCC=C(C)C	Amine
COC(=O)c1ccccc1N=CC(C)Cc2ccc(cc2)C(C)(C)C	Amine
COC(=O)c1ccccc1N=CC(C)Cc2ccc(cc2)C(C)C	Amine
COC(=O)c1ccccc1N=CC2CCC(=CC2)CCCC(C)(C)O	Amine, Alcohol
COC(=O)c1ccccc1N=CC2CCC(=CC2C)C	Amine
COC(=O)c1ccccc1N=Cc2ccc(OC)cc2	Amine
COC(=O)c1ccccc1N=Cc2ccccc2	Amine
COC(=O)c1ccccc1N=CCC(C)CCC=C(C)C	Amine
COC(=O)c1ccccc1N=CCC(C)CCCC(C)(C)O	Amine, Alcohol
COC(=O)c1ccccc1N=CCc2ccccc2	Amine
COC(=O)c1ccccc1O	Alcohol
COC(=O)CC(C)O	Alcohol
COC(=O)CC(O)(CC(=O)OC)C(=O)OC	Alcohol
COC(C)(C)CCCC(C)C(C)O	Alcohol
COC(C)(C)CCCC(C)C=O	Aldehyde
COC(C)(C)CCCC(C)CC=O	Aldehyde
COC(CC(C)CCCC(C)(C)O)OC	Alcohol
COC1=C(C=C(C=C1)C2CCC3=C(O2)C=C(C=C3)O)O	Alcohol
COC1=C(C=C(C=C1)CCCN[C@@H](CC(=O)O)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)OC)O.O	CarboxylicAcid, Amine, Alcohol
COC1=CC(=C(C=C1)C(=O)CCC2=CC=CC=N2)O	Alcohol
COC1=CC=C(C=C1)C(=O)OCC(=O)[O-].[Na+]	CarboxylicAcid
COc1c(cc(c(C)c1[N+]([O-])=O)[N+]([O-])=O)C(C)(C)C	Nitro
COc1cc(\C=C/C)ccc1O	Alcohol
COc1cc(\C=C\C(C)=O)ccc1O	Alcohol
COc1cc(\C=C\C)cc(OC)c1O	Alcohol
COc1cc(\C=C\C)ccc1O	Alcohol
COc1cc(\C=C\C)ccc1O	Alcohol
COc1cc(\C=C\C=O)ccc1O	Alcohol, Aldehyde
COc1cc(C)cc(O)c1	Alcohol
COc1cc(C)ccc1O	Alcohol
COc1cc(C=C)cc(OC)c1O	Alcohol
COc1cc(C=C)ccc1O	Alcohol
COc1cc(C=O)cc(c1O)c2cc(C=O)cc(OC)c2O	Alcohol, Aldehyde
COc1cc(C=O)cc(OC)c1O	Alcohol, Aldehyde
COc1cc(C=O)ccc1O	Alcohol, Aldehyde
COc1cc(C=O)ccc1O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O	Alcohol, Aldehyde
COc1cc(C=O)ccc1OC(C)=O	Aldehyde
COc1cc(CC=C)cc(OC)c1O	Alcohol
COc1cc(CC=C)ccc1O	Alcohol
COc1cc(CCC(C)=O)ccc1O	Alcohol
COc1cc(ccc1O)C(C)=O	Alcohol
COc1cc(ccc1O)C(O)=O	CarboxylicAcid, Alcohol
COc1cc(ccc1O)C2OC(C)CC(C)(C)O2	Alcohol
COc1cc(ccc1O)C2OCC(C)O2	Alcohol
COc1cc(CO)ccc1O	Alcohol
COC1CC2CC1C3C2CC(C3)C=O	Aldehyde
COc1ccc(\C=C\C=O)cc1	Aldehyde
COc1ccc(\C=C\C=O)cc1	Aldehyde
COc1ccc(C=O)c(O)c1	Alcohol, Aldehyde
COc1ccc(C=O)cc1	Aldehyde
COc1ccc(C=O)cc1OC	Aldehyde
COc1ccc(CC=C)cc1O	Alcohol
COc1ccc(CC=O)cc1	Aldehyde
COc1ccc(cc1)/C=C(/C)C=O	Aldehyde
COc1ccc(cc1)C(=O)OCC(O)=O	CarboxylicAcid
COc1ccc(cc1)C(O)=O	CarboxylicAcid
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc2O)cc1O	Alcohol
COc1ccc(CO)cc1	Alcohol
COc1cccc(OC)c1O	Alcohol
COc1ccccc1/C=C/C=O	Aldehyde
COc1ccccc1C=O	Aldehyde
COc1ccccc1O	Alcohol
CSC(C)CC=O	Aldehyde
CSC/C(C=O)=C/c1ccccc1	Aldehyde
CSC\C(=C/C)C=O	Aldehyde
CSc1ccccc1O	Alcohol
CSCC=O	Aldehyde
CSCCC(N)C(=O)NCC(O)=O	CarboxylicAcid, Amine
CSCCC[NH3+]	Amine
CSCCC=O	Aldehyde
CSCCCC=O	Aldehyde
CSCCCCCN=C=S	Amine
CSCCCCN=C=S	Amine
CSCCCCO	Alcohol
CSCCCN=C=S	Amine
CSCCCO	Alcohol
CSCCO	Alcohol
CSSC(C)(C)C=O	Aldehyde
N.CC(C)CC(O)=O	CarboxylicAcid
N.CC(S)C(O)=O	CarboxylicAcid
N[C@@H](CCC(N)=O)C(O)=O	CarboxylicAcid, Amine
NC(Cc1ccc(O)c(O)c1)C(O)=O	CarboxylicAcid, Amine, Alcohol
NC(CCC(O)=O)C(O)=O	CarboxylicAcid, Amine
NC(CSCC=C)C(O)=O	CarboxylicAcid, Amine
Nc1ccccc1C(=O)Oc2ccc3ccccc3c2	Amine
Nc1ccccc1C(=O)OC2CCCCC2	Amine
Nc1ccccc1C(=O)OCC=C	Amine
Nc1ccccc1C(=O)OCCc2ccccc2	Amine
NCC(O)=O	CarboxylicAcid, Amine
NCCC(O)=O	CarboxylicAcid, Amine
NCCc1ccc(O)cc1	Amine, Alcohol
NCCc1ccccc1	Amine
NCCCC(O)=O	CarboxylicAcid, Amine
O.OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O	Alcohol
O[C@@H](C=O)[C@H]1OC(=O)[C@@H](O)[C@H]1O	Alcohol, Aldehyde
O=C/C=C/c1ccccc1	Aldehyde
O=C/C=C/c1ccccc1	Aldehyde
O=C/C=C/c1occc1	Aldehyde
O=C\C=C/c1ccccc1	Aldehyde
O=CC(=C/c1occc1)/c2ccccc2	Aldehyde
O=Cc1[nH]ccc1	Aldehyde
O=CC1CCC2C3CCC(C3)C12	Aldehyde
O=Cc1ccc2OCOc2c1	Aldehyde
O=Cc1ccccc1	Aldehyde
O=Cc1ccccn1	Aldehyde
O=Cc1ccncc1	Aldehyde
O=Cc1oc2ccccc2c1	Aldehyde
O=Cc1occc1	Aldehyde
O=Cc1sccc1	Aldehyde
O=CCC\C=C1/CC2CC1C3CCCC23	Aldehyde
O=CCc1ccccc1	Aldehyde
O=CCCc1ccccc1	Aldehyde
O=CCOc1ccccc1	Aldehyde
O=CCOCCc1ccccc1	Aldehyde
OC(=O)\C=C\c1ccccc1	CarboxylicAcid
OC(=O)\C=C\c1ccccc1	CarboxylicAcid
OC(=O)C(=O)Cc1ccccc1	CarboxylicAcid
OC(=O)C\C(=C/C(O)=O)C(O)=O	CarboxylicAcid
OC(=O)C\C(=C/C(O)=O)C(O)=O	CarboxylicAcid
OC(=O)C\C(=C/C(O)=O)C(O)=O	CarboxylicAcid
OC(=O)C1CC2CC1C=C2	CarboxylicAcid
OC(=O)c1ccc(O)c(O)c1	CarboxylicAcid, Alcohol
OC(=O)c1ccc(O)cc1	CarboxylicAcid, Alcohol
OC(=O)c1ccccc1	CarboxylicAcid
OC(=O)C1CCCCC1	CarboxylicAcid
OC(=O)c1ccccc1O	CarboxylicAcid, Alcohol
OC(=O)C1CCCN1	CarboxylicAcid, Amine
OC(=O)c1occc1	CarboxylicAcid
OC(=O)Cc1ccccc1	CarboxylicAcid
OC(=O)CC1CCCCC1	CarboxylicAcid
OC(=O)CCC=C	CarboxylicAcid
OC(=O)CCc1ccccc1	CarboxylicAcid
OC(=O)CCCCCCCC=C	CarboxylicAcid
OC(=O)CCCCCCCCCC=C	CarboxylicAcid
OC(=O)COc1ccccc1	CarboxylicAcid
OC(c1ccccc1)C(=O)c2ccccc2	Alcohol
OC(c1ccccc1)c2ccccc2	Alcohol
OC(Cc1ccccc1)c2ccccc2	Alcohol
OC(O)C(=O)c1ccccc1	Alcohol
OC/C=C/c1ccccc1	Alcohol
OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO	Alcohol
OC[C@H]1NCC[C@@H](O)[C@@H]1O	Amine, Alcohol
OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl	Alcohol, Halogen
OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Alcohol
OC[C@H]1O[C@H](O[C@]2(CO[C@]3(CO[C@]4(CO[C@]5(CO[C@]6(CO[C@]7(CO[C@]8(CO[C@]9(CO[C@]%10(CO[C@]%11(CO[C@]%12(CO[C@]%13(CO[C@]%14(CO[C@]%15(CO[C@]%16(CO[C@]%17(CO[C@]%18(CO[C@]%19(CO[C@]%20(CO[C@]%21(CO[C@]%22(CO[C@]%23(CO[C@]%24(CO[C@]%25(CO[C@]%26(CO[C@]%27(CO[C@]%28(CO[C@]%29(CO[C@]%30(CO[C@]%31(CO[C@]%32(CO[C@]%33(CO[C@]%34(CO[C@]%35(CO[C@]%36(CO[C@]%37(CO[C@]%38(CO)O[C@H](CO)[C@@H](O)[C@@H]%38O)O[C@H](CO)[C@@H](O)[C@@H]%37O)O[C@H](CO)[C@@H](O)[C@@H]%36O)O[C@H](CO)[C@@H](O)[C@@H]%35O)O[C@H](CO)[C@@H](O)[C@@H]%34O)O[C@H](CO)[C@@H](O)[C@@H]%33O)O[C@H](CO)[C@@H](O)[C@@H]%32O)O[C@H](CO)[C@@H](O)[C@@H]%31O)O[C@H](CO)[C@@H](O)[C@@H]%30O)O[C@H](CO)[C@@H](O)[C@@H]%29O)O[C@H](CO)[C@@H](O)[C@@H]%28O)O[C@H](CO)[C@@H](O)[C@@H]%27O)O[C@H](CO)[C@@H](O)[C@@H]%26O)O[C@H](CO)[C@@H](O)[C@@H]%25O)O[C@H](CO)[C@@H](O)[C@@H]%24O)O[C@H](CO)[C@@H](O)[C@@H]%23O)O[C@H](CO)[C@@H](O)[C@@H]%22O)O[C@H](CO)[C@@H](O)[C@@H]%21O)O[C@H](CO)[C@@H](O)[C@@H]%20O)O[C@H](CO)[C@@H](O)[C@@H]%19O)O[C@H](CO)[C@@H](O)[C@@H]%18O)O[C@H](CO)[C@@H](O)[C@@H]%17O)O[C@H](CO)[C@@H](O)[C@@H]%16O)O[C@H](CO)[C@@H](O)[C@@H]%15O)O[C@H](CO)[C@@H](O)[C@@H]%14O)O[C@H](CO)[C@@H](O)[C@@H]%13O)O[C@H](CO)[C@@H](O)[C@@H]%12O)O[C@H](CO)[C@@H](O)[C@@H]%11O)O[C@H](CO)[C@@H](O)[C@@H]%10O)O[C@H](CO)[C@@H](O)[C@@H]9O)O[C@H](CO)[C@@H](O)[C@@H]8O)O[C@H](CO)[C@@H](O)[C@@H]7O)O[C@H](CO)[C@@H](O)[C@@H]6O)O[C@H](CO)[C@@H](O)[C@@H]5O)O[C@H](CO)[C@@H](O)[C@@H]4O)O[C@H](CO)[C@@H](O)[C@@H]3O)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Alcohol
OC[C@H]1O[C@H](OC[C@H]2OC(O)(CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	Alcohol
OC\C=C/c1ccccc1	Alcohol
OC=O	CarboxylicAcid
OC1=CCCC1=O	Alcohol
OC1=CCCCC1=O	Alcohol
Oc1ccc(C=C)cc1	Alcohol
Oc1ccc(C=O)cc1	Alcohol, Aldehyde
Oc1ccc(C=O)cc1O	Alcohol, Aldehyde
Oc1ccc(CC=C)cc1	Alcohol
OC1CCC2CCCCC2C1	Alcohol
Oc1cccc(O)c1	Alcohol
OC1CCCCC1	Alcohol
Oc1ccccc1	Alcohol
Oc1ccccc1C(=O)Oc2ccccc2	Alcohol
Oc1ccccc1C(=O)OC2CCCCC2	Alcohol
Oc1ccccc1C(=O)OCC=C	Alcohol
Oc1ccccc1C(=O)OCc2ccccc2	Alcohol
Oc1ccccc1C(=O)OCCc2ccccc2	Alcohol
Oc1ccccc1C=O	Alcohol, Aldehyde
Oc1ccccc1S	Alcohol
OC1COC(O)C(O)C1O	Alcohol
OC1COC(O)C(O)C1O	Alcohol
OC1CSC(O)CS1	Alcohol
OC1OC2(c3ccc(O)cc3Oc4cc(O)ccc24)c5ccc(NC(=O)c6c(F)c(F)c(F)c(F)c6F)cc15	Alcohol, Halogen
OCC#C	Alcohol, TerminalAlkyne
OCC(=O)C(O)=O	CarboxylicAcid, Alcohol
OCC(=O)CO	Alcohol
OCC(=O)CO	Alcohol
OCC(O)C(/O)=C/c1ccccc1	Alcohol
OCC(O)C(O)C(O)C(O)CO	Alcohol
OCC(O)C(O)C(O)C(O)CO	Alcohol
OCC(O)C(O)C(O)CO	Alcohol
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO	Alcohol
OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO	Alcohol
OCC(O)CO	Alcohol
OCC=C	Alcohol
OCc1ccc(O)cc1	Alcohol
OCC1CCC2C3CC(CC3CO)C12	Alcohol
OCc1ccc2OCOc2c1	Alcohol
OCc1ccccc1	Alcohol
OCc1ccccn1	Alcohol
OCc1cccnc1	Alcohol
OCC1CCCO1	Alcohol
OCc1ccncc1	Alcohol
OCc1oc(C=O)cc1	Alcohol, Aldehyde
OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O	Alcohol
OCC1OC2OC3C(O)C(O)C(OC3CO)OC4C(O)C(O)C(OC4CO)OC5C(O)C(O)C(OC5CO)OC6C(O)C(O)C(OC6CO)OC7C(O)C(O)C(OC7CO)OC8C(O)C(O)C(OC8CO)OC1C(O)C2O	Alcohol
OCc1occc1	Alcohol
OCc1sccc1	Alcohol
OCCC(=O)OCCc1ccccc1	Alcohol
OCCc1ccc(O)cc1	Alcohol
OCCc1ccccc1	Alcohol
OCCC1CCCCC1	Alcohol
OCCc1ccccn1	Alcohol
OCCCc1ccccc1	Alcohol
OCCCCc1ccccc1	Alcohol
OCCCCCc1ccccc1	Alcohol
OCCCCCCCCC=C	Alcohol
OCCCCCCCCCC=C	Alcohol
OCCOc1ccccc1	Alcohol
S=C=NCc1ccccc1	Amine
SCC=O	Aldehyde
